epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.9002695679664612,9.999999747378752e-06,0.2869247496128082,0.7977527976036072,0.6141159534454346
1,0.9164420366287231,9.999999747378752e-06,0.20533473789691925,0.7640449404716492,0.7253952026367188
2,0.8760107755661011,9.999999747378752e-06,0.27738383412361145,0.7977527976036072,0.6250038146972656
3,0.9245283007621765,9.999999747378752e-06,0.2319936752319336,0.8202247023582458,0.6782757639884949
4,0.9137466549873352,9.999999747378752e-06,0.24787889420986176,0.7865168452262878,0.7001774907112122
5,0.9056603908538818,9.999999747378752e-06,0.24834801256656647,0.8089887499809265,0.7070433497428894
6,0.9137466549873352,1.9999999949504854e-06,0.2664864957332611,0.8314606547355652,0.6263459324836731
7,0.9056603908538818,1.9999999949504854e-06,0.25072696805000305,0.7865168452262878,0.5755396485328674
8,0.9164420366287231,1.9999999949504854e-06,0.26057496666908264,0.7752808928489685,0.7250036597251892
9,0.8867924809455872,1.9999999949504854e-06,0.32467347383499146,0.8314606547355652,0.5425952076911926
10,0.9110512137413025,1.9999999949504854e-06,0.29465553164482117,0.7865168452262878,0.6793918013572693
11,0.9137466549873352,1.9999999949504854e-06,0.24890929460525513,0.8202247023582458,0.6871798634529114
12,0.8975741267204285,1.9999999949504854e-06,0.2619350254535675,0.8202247023582458,0.6905021667480469
13,0.8948786854743958,1.9999999949504854e-06,0.281372994184494,0.8202247023582458,0.6570686101913452
14,0.8706199526786804,1.9999999949504854e-06,0.3210316598415375,0.8089887499809265,0.6447350978851318
15,0.9137466549873352,4.0000000467443897e-07,0.22361505031585693,0.7752808928489685,0.6947773098945618
16,0.9164420366287231,4.0000000467443897e-07,0.25612056255340576,0.7865168452262878,0.6323293447494507
17,0.9191374778747559,4.0000000467443897e-07,0.24740827083587646,0.7752808928489685,0.6694056987762451
18,0.9164420366287231,4.0000000467443897e-07,0.20497697591781616,0.8426966071128845,0.6015933156013489
19,0.9218328595161438,4.0000000467443897e-07,0.21127642691135406,0.8314606547355652,0.6531553268432617
